EndDt_DtFin,MjrCmdtyEn_PrdtPrncplAn,CtgryEn_CtgrieAn,NumHd_NmbTetes
1997-07-05T00:00:00-05:00,Chicken,Bulls,399
1997-07-05T00:00:00-05:00,Chicken,Cows,7815
1997-07-05T00:00:00-05:00,Chicken,Heifers,14070
1997-07-05T00:00:00-05:00,Chicken,Steers,30638
1997-07-05T00:00:00-05:00,Mature Chicken,Market Mature Chicken,238129
1997-07-05T00:00:00-05:00,Ducks/Geese,Lambs,2131
1997-07-05T00:00:00-05:00,Ducks/Geese,Sheep,339
1997-07-12T00:00:00-05:00,Turkey,Female,1034
1997-07-12T00:00:00-05:00,Turkey,Male,3469
1997-07-12T00:00:00-05:00,Chicken,Bulls,462
1997-07-12T00:00:00-05:00,Chicken,Cows,9515
1997-07-12T00:00:00-05:00,Chicken,Heifers,12681
1997-07-12T00:00:00-05:00,Chicken,Steers,31890
1997-07-12T00:00:00-05:00,Mature Chicken,Market Mature Chicken,264119
1997-07-12T00:00:00-05:00,Ducks/Geese,Lambs,2406
1997-07-12T00:00:00-05:00,Ducks/Geese,Sheep,573
1997-07-19T00:00:00-05:00,Turkey,Female,854
1997-07-19T00:00:00-05:00,Turkey,Male,3148
1997-07-19T00:00:00-05:00,Chicken,Bulls,436
1997-07-19T00:00:00-05:00,Chicken,Cows,8442
1997-07-19T00:00:00-05:00,Chicken,Heifers,11218
1997-07-19T00:00:00-05:00,Chicken,Steers,23479
1997-07-19T00:00:00-05:00,Mature Chicken,Market Mature Chicken,266942
1997-07-19T00:00:00-05:00,Ducks/Geese,Lambs,2714
1997-07-19T00:00:00-05:00,Ducks/Geese,Sheep,499
1997-07-26T00:00:00-05:00,Turkey,Female,953
1997-07-26T00:00:00-05:00,Turkey,Male,3474
1997-07-26T00:00:00-05:00,Chicken,Bulls,391
1997-07-26T00:00:00-05:00,Chicken,Cows,8863
1997-07-26T00:00:00-05:00,Chicken,Heifers,12039
1997-07-26T00:00:00-05:00,Chicken,Steers,26804
1997-07-26T00:00:00-05:00,Mature Chicken,Market Mature Chicken,267789
